,mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
0,0.0059232455415505775,0.00019206167297205072,0.003902947472478652,0.6117013785892425,1.8941885293641567e-05,2.9371579984554544e-05,6.281722728736003e-05,5.299720297238489e-05,2.980526628629459e-05,5.129568607019039e-06,0.0003434040891666429,0.00026539800909129355,0.0017164358605457695,0.004966358567725151,3.929749059553854e-06,1.1663953419093517e-05,3.2855944774499644e-05,7.165167076153212e-07,1.660552549792238e-06,3.4050039057966604e-06,0.008297275660269096,0.001230299890006005,0.01571964038127238,0.21951547995368006,2.5612168876662086e-05,0.00021108206755757355,0.00011137518474492353,3.959145295945259e-05,8.747066022578997e-05,1.62584261185239e-05
1,0.00566104246756869,9.046586689818046e-05,0.0404937527935475,0.12109977501587675,1.4607327628350448e-06,9.277157927521997e-05,1.868429904037482e-05,6.049870938624429e-05,4.04788689176955e-05,1.5143843722158006e-06,0.00037167359706768397,0.000475166259220497,0.0019517742314799499,0.011440529137030834,1.9026276561984636e-06,2.2041535967125727e-05,3.859450300297264e-05,2.1977034791330805e-06,3.297399902927776e-06,1.1983800018704217e-06,0.005749289887785263,0.0078114515089037495,0.01779979905599588,0.2981222995205347,2.5375106187391254e-05,0.0002619009419857423,0.00032161384103900954,6.826355689895428e-07,9.443819125625358e-05,8.49272280132492e-06
2,0.004815568150331994,0.004907676032728026,0.019131650036489284,0.6042865580100155,4.84714849113613e-06,8.398032259565164e-05,8.916412307566345e-05,2.6588002602359422e-05,2.67836841499858e-05,1.1843062002044717e-05,0.00039272361912617143,9.080439439599281e-05,0.0005597143603736093,0.06262924751132033,1.2477095445007356e-06,1.8507863114618494e-05,4.4600514352671396e-05,8.729141019105104e-06,6.006749605195026e-06,7.709020455133903e-07,0.006949671403714364,0.00566408146130474,0.025979207369314992,0.9768616536310576,2.0228209763957557e-05,6.226377790722042e-05,2.7337270617594593e-05,2.915088981737467e-05,5.5595138453904285e-05,2.54386104765259e-05
3,0.0036784529550829294,0.005303087407217454,0.012541561716008849,0.005194849839417789,2.310239493893808e-05,4.622132526048682e-05,0.0001141029399256658,2.8992266797958437e-05,1.2947135712932354e-05,1.1101015948345557e-05,0.0004199817356216857,0.0004475868253085966,0.002137666190404468,0.07421469469426491,1.7582750101674083e-07,5.219861611716319e-06,2.0633645579503542e-05,3.81519755110354e-06,3.590752792352848e-06,4.395324136468344e-06,0.006969745429832586,0.006867124849831386,0.007700897058468014,0.15408042564860563,1.0389076865548758e-05,0.00012292569073077175,0.0002759553801095476,2.9764268464001875e-05,8.696104273180824e-05,2.4420482141936696e-05
4,0.002479032715695926,0.006910698890536066,0.003083542992285182,0.4535115502463883,1.958479982947412e-05,9.194053082843832e-05,0.00011556517407317033,6.826391953960414e-05,3.3772567575580354e-05,6.74840354715052e-06,0.00018293136865423895,0.0007429969268579681,0.0012979727020217707,0.0776189401174088,3.2137033658670548e-06,1.3608296751147273e-05,7.953292739706158e-06,1.4222989882076493e-06,9.657804151604425e-06,1.1630552437249127e-06,0.005747927442276462,0.0004430764226008327,0.032273896243237656,0.5716370028926949,3.4079885107077044e-05,0.0002386183269430999,0.00025544527675328547,2.6803565316270898e-05,4.621215533007299e-05,1.2926458281797796e-05
5,0.004863699143660158,0.0027924462541421414,0.0099179572392371,0.4319290565108858,1.1213034786165072e-05,2.5523361946234438e-05,8.124039381544243e-05,8.141259101814186e-06,3.069833155604767e-05,1.7855361374689073e-06,0.0004655758788670224,0.0007959624386805369,0.002631613391200539,0.004123145901460674,1.325282895832582e-06,3.218720534351442e-06,2.4495970806121878e-05,6.056218325940091e-06,1.3104262775188163e-06,1.539105088811577e-06,0.004064378327215423,0.008478144930837372,0.04798817919816466,0.22786513361708194,1.887435953554592e-05,0.00013616578432738304,0.00032735245231566967,8.9071900034234e-05,3.992413476684037e-05,1.6249033901544552e-05
6,0.0038990826023369667,0.006792330206935117,0.014119470885377633,0.03802422904216068,2.4895035724209265e-06,3.8434063581994045e-05,6.0704394654453005e-05,9.243583907740421e-06,3.0298133144286595e-05,6.728811705280408e-07,0.00035374461642277927,8.441771827431649e-05,0.0011206818897022252,0.013705086579450625,4.044449982241581e-06,6.327158310749985e-06,7.0705958932797165e-06,5.166732537138126e-07,3.0927363783192824e-06,1.7924266989571575e-06,0.004508113069423609,0.0063311196718351,0.014761982184631674,0.736354427177832,4.001495752266208e-06,0.0001320686046817738,0.00014132517162158156,8.386707093181141e-05,8.243710531121108e-06,2.8779630002096647e-05
7,0.005934257654635866,0.0068232381234430645,0.03521015249916484,0.5639865274911069,2.0832864462147633e-06,1.0306607038405361e-05,0.00010224027865343355,2.921533331674589e-05,2.9585462768467083e-05,2.813698102496236e-06,0.0002262519442647804,0.0002902179067810498,0.000637090731124798,0.07958039692747927,1.5922705155379712e-06,2.4428736442029294e-05,2.5858703804152015e-05,8.494058128362757e-06,1.2731395601950044e-06,2.6561699873877392e-06,0.00775998800353496,0.0018352326193199896,0.03039835237092115,0.5871943070576764,1.9928094137739575e-05,0.0001970569390869233,0.00021631733348151142,6.496052848830272e-05,6.565308880338826e-05,2.071254584018658e-05
8,0.0009827143607617325,0.006857635084496044,0.029053375582007976,0.15233292274085464,1.4952905026904378e-05,4.800211805149957e-05,1.9461513610313485e-05,2.4057051382013197e-05,3.252478399479371e-05,1.1076684885034855e-06,0.0002678017919311307,0.00043585369448447095,0.002489893928285038,0.06499302177879893,6.767765648707275e-07,2.195035441917068e-05,3.3119453344131047e-05,6.650434722022401e-06,8.935713310996375e-06,2.1057946934661393e-07,0.006016130933916143,0.005067170467414641,0.0004541087015368402,0.12608858339477105,1.493258205260522e-05,5.120745720850467e-05,0.00029699880652648793,6.535877516886312e-05,1.7707867534244043e-05,3.0356473981132997e-05
9,0.002027362925196402,0.006904464581507519,0.03415650723430359,0.4539792470268684,2.2512354453133383e-05,2.995370755530431e-05,0.0001056774671935912,4.695398828577466e-06,1.0177446073358877e-05,8.935582000412548e-06,0.00036449111068918063,0.0008879809971992077,0.0034909890932552676,0.024907745825541203,2.452124473431729e-06,2.3596310163735586e-05,2.0130111614837898e-05,1.6097504241307033e-06,8.018586265008035e-06,7.544952289348542e-07,0.0048658652333865,0.00347169222858463,0.009974236060791241,0.5686211134846179,3.109389349823864e-05,6.175670663259427e-05,0.0002662545357910902,9.62465020364165e-05,4.878474148745478e-05,2.745395640990304e-05
